Umag,Ts,Ta,alphan,sigmat,theta,phi,panang,Cd
5.536168999999999869e+03,1.063131999999999948e+02,1.084789999999999964e+03,6.928210999999999675e-01,3.193577000000000221e-01,2.932290000000000174e-01,5.834808000000000217e-01,9.000000000000000000e+01,2.526015999999999817e+00
5.891560999999999694e+03,3.976761000000000195e+02,9.754578999999999951e+02,6.909661999999999749e-01,1.673746999999999952e-03,-2.725633000000000083e-01,6.856214999999999948e-01,3.000000000000000000e+01,1.627626999999999935e+00
5.513893000000000029e+03,2.384535999999999945e+02,9.959785000000000537e+02,2.864193999999999907e-01,3.939845000000000153e-01,-2.199913000000000007e+00,5.224581000000000364e-01,9.000000000000000000e+01,2.431423000000000112e+00
7.699981999999999971e+03,4.415425000000000182e+02,1.139114000000000033e+03,4.425722000000000267e-01,2.467540000000000011e-01,-2.660365000000000091e+00,3.681402999999999759e-02,4.000000000000000000e+01,2.985634000000000121e+00
5.927914999999999964e+03,3.651908000000000243e+02,1.676744999999999891e+03,2.500785999999999842e-01,9.476871999999999518e-01,-1.875704000000000038e+00,-6.644436999999999705e-01,1.000000000000000000e+01,5.161762999999999657e+00
6.943492000000000189e+03,1.234191000000000003e+02,4.720448999999999842e+02,1.880247999999999919e-01,6.348710999999999938e-02,1.546057999999999932e+00,-1.032624999999999904e+00,7.000000000000000000e+01,4.733465999999999951e+00
8.319352999999999156e+03,3.785686000000000035e+02,1.382991999999999962e+03,8.599925000000000486e-01,4.268314000000000275e-01,-1.462274000000000074e+00,7.292670999999999459e-01,9.000000000000000000e+01,3.480163999999999813e+00
6.954073000000000320e+03,1.791915999999999940e+02,1.600801999999999907e+03,1.615918000000000077e-01,2.348633999999999999e-01,-1.106775999999999982e+00,-7.015377000000000418e-02,2.000000000000000000e+01,3.709216000000000069e+00
8.896898999999999432e+03,3.404297000000000253e+02,1.962840999999999894e+03,8.206274999999999542e-01,2.635289000000000104e-01,1.917265999999999915e+00,1.183778999999999915e+00,2.000000000000000000e+01,2.558902999999999928e+00
9.455558999999999287e+03,3.726471000000000231e+02,2.046199000000000012e+02,2.319005999999999845e-02,3.085165000000000268e-01,2.606968999999999870e+00,-1.347235999999999989e-01,5.000000000000000000e+01,1.554373000000000005e+00
6.439975000000000364e+03,2.279205000000000041e+02,1.364318999999999960e+03,7.335521999999999876e-01,4.771444000000000241e-01,-1.431612000000000107e+00,-1.279301000000000021e+00,1.000000000000000000e+01,2.901784999999999837e+00
9.249176999999999680e+03,4.011209999999999809e+02,1.190849999999999909e+03,1.268219999999999903e-01,6.931055999999999884e-01,-1.192725999999999953e+00,9.741758999999999835e-02,9.000000000000000000e+01,3.649528999999999801e+00
7.565557999999999993e+03,1.370656999999999925e+02,1.866097999999999956e+03,2.495350000000000068e-01,1.199358999999999981e-01,2.251292999999999989e+00,7.607496999999999732e-01,2.000000000000000000e+01,3.819050999999999974e+00
5.746947000000000116e+03,4.316677999999999997e+02,1.876865000000000009e+03,2.781731000000000065e-01,2.705431999999999837e-01,1.177005000000000079e+00,6.163602000000000247e-01,3.000000000000000000e+01,3.388812000000000157e+00
7.250667000000000371e+03,1.179908999999999963e+02,1.745632000000000062e+03,6.517283000000000381e-01,2.442729999999999901e-01,2.408440999999999832e+00,-4.124125000000000152e-01,0.000000000000000000e+00,2.802836000000000105e+00
7.977840000000000146e+03,1.896615999999999929e+02,1.366961999999999989e+03,9.869248999999999938e-01,9.529758999999999869e-01,-1.655914000000000108e+00,1.052884000000000042e-01,6.000000000000000000e+01,3.411719000000000168e+00
7.146222999999999956e+03,3.043358000000000061e+02,1.019304999999999950e+03,8.903134000000000325e-01,3.243800000000000017e-01,-2.137846999999999831e+00,5.505352000000000023e-01,9.000000000000000000e+01,1.771781999999999968e+00
8.665509000000000015e+03,4.947903999999999769e+02,6.959853000000000520e+02,7.280666000000000082e-01,2.998062000000000227e-01,2.626113999999999837e+00,-1.073315000000000019e+00,2.000000000000000000e+01,1.060041000000000011e+00
6.875514000000000124e+03,1.042129999999999939e+02,3.602875999999999976e+02,4.200066000000000077e-01,9.143423000000000522e-01,2.299269999999999925e+00,-1.058016000000000068e+00,6.000000000000000000e+01,2.836733000000000171e+00
7.023043999999999869e+03,2.275536999999999921e+02,1.214835000000000036e+03,7.751639999999999642e-01,8.375907000000000213e-01,1.962407000000000012e+00,-2.957947000000000215e-01,1.000000000000000000e+01,3.604128999999999916e+00
9.162754999999999200e+03,2.080793999999999926e+02,7.038600999999999885e+02,4.028051999999999744e-01,3.610775999999999986e-01,1.388360999999999956e+00,-9.131555000000000089e-01,3.000000000000000000e+01,2.688630999999999993e+00
8.844550999999999476e+03,1.975104000000000042e+02,6.939186999999999443e+02,6.060522000000000409e-01,6.673143000000000269e-01,-2.832240999999999786e+00,-7.520438999999999874e-01,1.000000000000000000e+01,1.933742999999999990e+00
8.243327999999999520e+03,3.570237999999999943e+02,9.313144999999999527e+02,4.735041999999999862e-01,7.919705999999999690e-01,-2.709442000000000128e+00,-8.358685999999999616e-01,5.000000000000000000e+01,1.427939999999999987e+00
9.417853999999999360e+03,3.937380999999999744e+02,1.113241999999999962e+03,3.475890999999999842e-01,5.035576999999999970e-01,-9.380783000000000316e-01,-2.459475999999999885e-01,6.000000000000000000e+01,2.943626000000000076e+00
8.275119000000000597e+03,2.942203999999999837e+02,8.779228000000000520e+02,7.833668000000000298e-01,2.824484000000000022e-02,-1.365917999999999966e+00,-4.353272999999999726e-01,8.000000000000000000e+01,2.306350000000000122e+00
7.978918999999999869e+03,2.785285999999999831e+02,7.075289000000000215e+02,6.514195000000000402e-01,8.382304999999999895e-01,-5.058072999999999597e-01,1.331239000000000061e+00,7.000000000000000000e+01,3.539728999999999903e+00
6.210988000000000284e+03,4.327192999999999756e+02,1.329372000000000071e+03,6.869399000000000477e-01,2.912520999999999860e-02,9.236807000000000212e-01,-1.037403999999999993e+00,1.000000000000000000e+01,2.252267999999999937e+00
8.554869000000000597e+03,1.763169000000000040e+02,4.812873999999999910e+02,9.555998999999999743e-02,1.456241000000000063e-01,-2.749071999999999960e+00,6.945805999999999925e-01,2.000000000000000000e+01,3.743311999999999973e+00
6.535652000000000044e+03,1.177460999999999984e+02,1.614125000000000000e+03,5.435653999999999764e-01,2.639446999999999766e-01,-1.300567000000000086e-03,1.564041000000000015e+00,3.000000000000000000e+01,3.188210999999999906e+00
6.021181999999999789e+03,4.174947000000000230e+02,8.245081000000000131e+02,2.513823000000000030e-01,6.052988999999999731e-01,-8.322591000000000294e-01,-6.136211000000000304e-01,8.000000000000000000e+01,3.705313999999999997e+00
6.155859999999999673e+03,4.539053999999999860e+02,1.456990999999999985e+03,6.827524000000000370e-01,8.637234999999999774e-01,-6.488142000000000076e-01,5.497859000000000079e-02,6.000000000000000000e+01,3.848498000000000197e+00
7.664619999999999891e+03,1.653028999999999940e+02,7.083994000000000142e+02,8.875300999999999885e-01,3.892562999999999995e-01,-2.938213999999999881e+00,7.449675999999999521e-01,7.000000000000000000e+01,3.384765999999999941e+00
9.393993000000000393e+03,2.233984000000000094e+02,9.579569000000000187e+02,8.684783999999999837e-01,1.562769999999999992e-01,3.206934000000000173e-01,4.078547000000000144e-01,9.000000000000000000e+01,1.596722999999999892e+00
8.956766999999999825e+03,1.433574999999999875e+02,1.796992999999999938e+03,9.459879999999999678e-02,5.898014000000000312e-01,2.700998000000000010e-01,-1.100513000000000075e+00,2.000000000000000000e+01,3.219748000000000054e+00
8.600629999999999200e+03,1.083914000000000044e+02,4.798487000000000080e+02,6.641350999999999782e-01,4.936107000000000133e-01,2.684325999999999990e+00,-1.145720999999999989e+00,7.000000000000000000e+01,2.087479999999999780e+00
7.838425000000000182e+03,4.265144999999999982e+02,7.586136999999999944e+02,8.764695999999999598e-01,1.314358999999999944e-01,2.070931000000000022e-01,5.496547999999999989e-01,8.000000000000000000e+01,1.541617999999999933e+00
7.560916000000000167e+03,3.400783000000000129e+02,1.518402000000000044e+03,8.935324999999999518e-01,3.960169000000000050e-01,-2.511972999999999789e+00,5.474400000000000099e-02,1.000000000000000000e+01,2.871418999999999944e+00
8.818965000000000146e+03,1.903000000000000114e+02,7.222988000000000284e+02,5.113387000000000349e-01,5.081528999999999907e-02,7.494967999999999630e-01,-1.161931999999999965e+00,8.000000000000000000e+01,3.932878999999999792e+00
8.122498999999999796e+03,2.489074999999999989e+02,3.647629999999999768e+02,5.055226999999999915e-01,9.088943000000000438e-01,-2.115102999999999955e+00,-4.595982000000000123e-01,7.000000000000000000e+01,2.518923000000000023e+00
7.425372000000000298e+03,3.014777000000000271e+02,8.719732999999999947e+02,7.434404999999999486e-01,4.849530000000000229e-01,2.218777000000000221e+00,1.900447000000000108e-01,7.000000000000000000e+01,3.188925999999999927e+00
6.713729999999999563e+03,4.160539999999999736e+02,1.566099999999999909e+03,4.556671999999999945e-01,5.718904999999999683e-01,3.107730999999999799e+00,1.446936999999999918e+00,6.000000000000000000e+01,4.612997000000000014e+00
7.563543999999999869e+03,4.379340000000000259e+02,1.636410000000000082e+03,2.664785000000000070e-01,2.295809000000000044e-01,2.153756000000000004e+00,1.003130000000000077e+00,8.000000000000000000e+01,4.336875000000000036e+00
7.026010000000000218e+03,4.648693999999999846e+02,5.313415999999999713e+02,5.718611000000000111e-01,6.450907000000000169e-01,-1.411859999999999893e+00,1.240318999999999949e+00,7.000000000000000000e+01,5.230983000000000160e+00
8.016145999999999731e+03,2.648731000000000222e+02,6.774928999999999633e+02,1.842155000000000042e-01,5.381995000000000529e-01,1.348666000000000031e-01,-9.366440999999999795e-01,1.000000000000000000e+01,2.680000999999999856e+00
6.293807999999999993e+03,1.494354999999999905e+02,1.339444999999999936e+03,9.344067999999999818e-01,5.411926000000000236e-01,2.493717000000000183e+00,-5.385613999999999679e-01,1.000000000000000000e+01,2.307487000000000066e+00
6.956069000000000415e+03,3.465584999999999809e+02,1.142647999999999911e+03,9.795901999999999665e-01,2.169129999999999947e-01,1.991540000000000088e+00,-1.041852000000000000e+00,2.000000000000000000e+01,1.698879999999999946e+00
5.915215000000000146e+03,2.963100000000000023e+02,3.679676000000000045e+02,4.697953999999999741e-01,1.500316999999999901e-01,2.477357000000000031e+00,-3.148966999999999739e-01,3.000000000000000000e+01,1.869992000000000099e+00
7.842952000000000226e+03,4.744318999999999846e+02,3.676406000000000063e+02,7.582368000000000441e-01,8.235219000000000289e-01,6.424819000000000502e-01,-2.546618999999999966e-01,6.000000000000000000e+01,2.660940000000000083e+00
6.157310000000000400e+03,1.118161999999999949e+02,6.684394999999999527e+02,8.994062000000000445e-01,3.439705000000000124e-01,-5.530245000000000299e-01,-9.941934999999999523e-01,8.000000000000000000e+01,2.816098000000000212e+00
6.393057999999999993e+03,1.984817999999999927e+02,4.043201999999999998e+02,6.093423000000000034e-01,7.702510000000000190e-01,-1.242777999999999938e-01,-8.156090999999999758e-01,9.000000000000000000e+01,2.629564999999999930e+00
8.149927999999999884e+03,3.799700000000000273e+02,9.253482999999999947e+02,5.819839999999999458e-01,4.364063000000000248e-01,-2.580836999999999826e+00,-7.806054000000000048e-01,0.000000000000000000e+00,2.241127000000000091e+00
6.700747000000000298e+03,1.838853000000000009e+02,1.371846999999999980e+03,4.552695999999999965e-01,5.970305000000000195e-01,1.748131000000000101e+00,5.115182000000000340e-01,1.000000000000000000e+01,3.823643999999999821e+00
6.682698999999999614e+03,3.719531000000000063e+02,1.051733999999999924e+03,3.168625999999999943e-01,4.246094999999999731e-01,-1.925631000000000093e+00,6.819614999999999982e-01,3.000000000000000000e+01,3.892186000000000146e+00
9.208891999999999825e+03,2.810151999999999930e+02,6.847753999999999905e+02,8.805920000000000414e-02,2.890414000000000039e-01,1.376351000000000102e+00,8.910002999999999673e-01,8.000000000000000000e+01,3.884011000000000102e+00
6.641872999999999593e+03,2.265920000000000130e+02,2.318785000000000025e+02,8.487681999999999727e-01,3.670741000000000143e-01,2.898601999999999901e+00,1.538817000000000101e+00,7.000000000000000000e+01,2.799256000000000189e+00
9.292478999999999360e+03,4.310833999999999833e+02,1.523631000000000085e+03,2.519974999999999854e-01,8.587480000000000113e-02,-4.619851999999999848e-01,-3.759332000000000229e-01,0.000000000000000000e+00,2.919595999999999858e+00
5.637311999999999898e+03,1.312933999999999912e+02,1.207028999999999996e+03,4.890944999999999876e-01,3.871729999999999894e-01,9.671427999999999692e-01,4.783664000000000249e-01,6.000000000000000000e+01,3.393549000000000149e+00
6.048889000000000124e+03,4.325874000000000024e+02,7.785137999999999465e+02,1.282646000000000064e-01,3.211612999999999829e-01,-2.011801999999999868e+00,7.609580000000000233e-01,9.000000000000000000e+01,3.209697999999999940e+00
6.878895999999999731e+03,1.625244999999999891e+02,1.462076000000000022e+03,7.599662999999999835e-01,1.419172999999999962e-01,-1.890122999999999942e-01,-1.231468000000000007e+00,5.000000000000000000e+01,3.069694000000000145e+00
9.070549000000000888e+03,1.402309999999999945e+02,1.917861000000000104e+03,2.608247000000000204e-01,9.079798000000000036e-02,-2.369765000000000121e+00,-1.238107000000000069e+00,7.000000000000000000e+01,3.620280999999999860e+00
8.768292999999999665e+03,4.904386999999999830e+02,1.378113000000000056e+03,4.292067999999999994e-01,3.195683000000000273e-01,1.954924000000000106e+00,-8.638453000000000381e-01,3.000000000000000000e+01,2.114568999999999921e+00
6.146949999999999818e+03,3.187828999999999837e+02,1.975268000000000029e+03,2.357762999999999942e-01,4.553923000000000276e-01,3.749179000000000261e-01,9.914608999999999783e-01,3.000000000000000000e+01,3.815188000000000024e+00
9.056413000000000466e+03,1.589706999999999937e+02,7.458345000000000482e+02,4.823255000000000181e-01,7.574286000000000074e-01,2.789063000000000070e+00,1.437554999999999916e+00,0.000000000000000000e+00,2.923874999999999780e+00
6.386189000000000306e+03,1.547462999999999909e+02,1.872141000000000076e+03,4.825091000000000241e-01,3.683718000000000270e-01,-5.634272999999999643e-01,1.096967999999999943e+00,6.000000000000000000e+01,3.470812000000000008e+00
5.868164999999999964e+03,2.267738999999999976e+02,1.140335000000000036e+03,8.365751000000000159e-01,2.670673000000000075e-01,-2.157827999999999857e+00,-1.386228999999999933e+00,1.000000000000000000e+01,2.060661000000000076e+00
6.705422999999999774e+03,1.972138999999999953e+02,1.882198000000000093e+03,5.166547000000000223e-01,9.113288000000000499e-01,2.851255999999999791e+00,1.514845999999999915e+00,9.000000000000000000e+01,4.310048000000000101e+00
7.623033999999999651e+03,1.648969999999999914e+02,1.656711000000000013e+03,8.158893999999999869e-01,7.093095000000000372e-01,1.042721999999999927e+00,1.248920000000000030e-01,8.000000000000000000e+01,3.616713999999999984e+00
7.367542999999999665e+03,1.746946000000000083e+02,1.513298000000000002e+03,4.927244000000000068e-02,2.346341000000000121e-01,2.388081000000000120e+00,2.274047999999999903e-01,8.000000000000000000e+01,2.269674999999999887e+00
6.386707000000000335e+03,3.715849999999999795e+02,1.278123000000000047e+03,8.479672999999999794e-01,4.470597000000000043e-01,1.181229000000000029e-01,8.031698000000000448e-01,1.000000000000000000e+01,2.436627999999999794e+00
8.226647000000000844e+03,3.965013000000000147e+02,3.319873000000000047e+02,6.686609999999999498e-01,3.929209000000000174e-01,5.837839000000000222e-01,-3.580051000000000205e-01,5.000000000000000000e+01,2.462750999999999912e+00
5.697435999999999694e+03,1.583454999999999870e+02,1.030817000000000007e+03,2.688344999999999763e-01,7.588612999999999609e-01,1.389458000000000082e+00,2.657881000000000271e-01,3.000000000000000000e+01,4.253546000000000049e+00
5.803569999999999709e+03,3.439207000000000107e+02,1.672705999999999904e+03,2.761467000000000227e-01,1.419380000000000086e-01,2.575858999999999899e+00,-4.549024000000000123e-02,6.000000000000000000e+01,3.214512000000000036e+00
7.713139000000000124e+03,4.867341999999999871e+02,1.394949000000000069e+03,9.525593999999999451e-01,3.234586999999999879e-01,5.908096999999999932e-01,1.239597000000000060e+00,7.000000000000000000e+01,2.979956000000000049e+00
6.731707999999999629e+03,4.520119000000000256e+02,3.790486000000000217e+02,2.703289999999999860e-01,4.307709000000000121e-01,3.962373000000000145e-01,9.422272000000000425e-01,9.000000000000000000e+01,2.910013000000000183e+00
5.793658000000000357e+03,4.253471000000000117e+02,1.397561999999999898e+03,5.262968000000000091e-01,3.324824000000000113e-01,4.454494999999999982e-01,1.119946000000000108e+00,7.000000000000000000e+01,3.480107999999999979e+00
7.692409999999999854e+03,4.126068000000000211e+02,7.764151000000000522e+02,3.542266000000000026e-01,3.508427000000000073e-01,-1.766361999999999932e-01,7.838372999999999591e-01,7.000000000000000000e+01,2.053601000000000010e+00
6.935536000000000058e+03,2.967311000000000263e+02,1.771084000000000060e+03,9.869906999999999986e-01,1.839670999999999945e-01,1.722277999999999976e+00,3.782305000000000250e-01,2.000000000000000000e+01,2.852799999999999780e+00
6.949079999999999927e+03,1.809739999999999895e+02,1.478099999999999909e+03,8.463962999999999903e-01,7.646159999999999624e-01,-2.902197000000000138e+00,-2.246761999999999926e-01,4.000000000000000000e+01,2.464910000000000156e+00
6.419724000000000160e+03,4.460000999999999749e+02,1.587154999999999973e+03,8.089716000000000129e-01,8.536544000000000354e-01,-2.152817999999999898e+00,-1.090405999999999986e+00,3.000000000000000000e+01,3.287199999999999900e+00
6.551921000000000276e+03,1.495422000000000082e+02,1.240615000000000009e+03,5.800376999999999894e-01,2.085337999999999914e-01,3.904352999999999851e-01,-2.696316999999999742e-01,3.000000000000000000e+01,3.330658000000000118e+00
7.030453999999999724e+03,3.900208000000000084e+02,6.505760000000000218e+02,7.248445000000000027e-01,1.397893000000000052e-01,-2.373164000000000051e+00,5.339823999999999682e-01,2.000000000000000000e+01,2.816288999999999820e+00
5.661724000000000160e+03,2.605495999999999981e+02,8.880027000000000044e+02,6.599496999999999725e-01,2.473467000000000027e-01,-1.583596000000000004e+00,1.337774000000000019e+00,4.000000000000000000e+01,3.947505000000000042e+00
7.089369999999999891e+03,1.565030999999999892e+02,1.680647999999999911e+03,8.532754999999999646e-01,9.745652999999999677e-01,-1.243691000000000102e+00,-1.697114000000000122e-01,0.000000000000000000e+00,4.575969999999999871e+00
6.650032000000000153e+03,4.086394000000000233e+02,1.888615000000000009e+03,9.637966999999999507e-01,7.542609999999999593e-01,2.940888999999999864e+00,1.425653999999999977e+00,9.000000000000000000e+01,3.204464999999999897e+00
7.921386999999999716e+03,4.499182000000000130e+02,1.466242999999999938e+03,3.482703999999999800e-01,8.559569000000000205e-01,-2.393568999999999836e+00,1.321202999999999905e+00,3.000000000000000000e+01,5.147883000000000209e+00
8.927972999999999956e+03,1.161393000000000058e+02,6.134181999999999562e+02,6.291303000000000312e-01,3.349469999999999947e-01,2.494524000000000186e+00,9.696609000000000478e-01,6.000000000000000000e+01,4.376833000000000418e+00
8.849282999999999447e+03,3.723664999999999736e+02,9.531014999999999873e+02,9.311462000000000350e-01,1.274113000000000051e-01,1.560295999999999905e+00,-6.793027999999999844e-01,5.000000000000000000e+01,2.129264000000000046e+00
6.364387999999999920e+03,2.007216999999999985e+02,1.300701000000000022e+03,4.279804999999999859e-01,3.689651999999999932e-01,1.264062999999999937e+00,-8.509782000000000179e-01,1.000000000000000000e+01,3.254360999999999837e+00
6.887528000000000247e+03,3.762594000000000278e+02,1.376162000000000035e+03,7.314772000000000496e-01,1.987676999999999916e-01,-7.712499000000000438e-01,-1.533973999999999893e-01,9.000000000000000000e+01,2.742035000000000000e+00
8.250449000000000524e+03,4.467921999999999798e+02,1.763865999999999985e+03,7.023791999999999813e-01,9.467927999999999900e-01,-3.052204999999999835e+00,-2.366225999999999885e-01,1.000000000000000000e+01,3.419665000000000177e+00
8.174551999999999680e+03,3.615681999999999903e+02,1.785355000000000018e+03,4.993025999999999853e-01,3.217728000000000255e-01,2.861346000000000167e+00,1.211151000000000089e+00,2.000000000000000000e+01,5.446142000000000039e+00
9.066640999999999622e+03,4.698638000000000261e+02,8.384858000000000402e+02,5.646251000000000048e-02,8.720390000000000086e-01,-3.085437000000000207e+00,-1.693590000000000095e-01,7.000000000000000000e+01,2.524236999999999842e+00
8.730226000000000568e+03,3.088349000000000046e+02,1.261219000000000051e+03,1.521461000000000063e-01,2.269722000000000128e-01,-1.216935000000000100e+00,1.443693000000000060e-01,8.000000000000000000e+01,3.199294000000000082e+00
7.261972999999999956e+03,1.578632000000000062e+02,1.283980000000000018e+03,8.049442999999999460e-01,3.252485999999999988e-01,-6.637026999999999788e-01,1.709818999999999922e-01,8.000000000000000000e+01,2.925270999999999955e+00
5.581814000000000306e+03,4.597953999999999724e+02,1.209837999999999965e+03,3.995267000000000124e-01,6.901237999999999817e-02,-1.880033999999999983e+00,7.442220999999999975e-01,7.000000000000000000e+01,4.884297000000000111e+00
6.268555000000000291e+03,2.874714999999999918e+02,1.979643000000000029e+03,7.268862000000000378e-01,3.046348999999999863e-01,-1.949144999999999905e+00,-1.272696999999999967e+00,6.000000000000000000e+01,4.916996000000000144e+00
7.098442000000000007e+03,1.800306999999999960e+02,1.273403000000000020e+03,9.581836999999999716e-01,4.647235000000000116e-01,-2.341310000000000002e+00,1.252008999999999934e-02,8.000000000000000000e+01,1.670390000000000041e+00
6.790356999999999971e+03,1.781487999999999943e+02,4.522026999999999930e+02,2.571610999999999758e-01,4.222562999999999733e-01,2.417631999999999781e+00,-4.940205999999999764e-01,5.000000000000000000e+01,1.107768000000000086e+00
7.085693000000000211e+03,3.885559000000000083e+02,1.171059999999999945e+03,9.054689999999999961e-02,4.442553000000000196e-01,2.660565000000000069e+00,6.361181999999999670e-01,5.000000000000000000e+01,4.582577999999999818e+00
7.716184000000000196e+03,4.686641999999999939e+02,1.007716999999999985e+03,2.225086000000000008e-01,9.086577999999999600e-01,3.030892999999999837e+00,4.039001999999999870e-02,7.000000000000000000e+01,3.743958999999999815e+00
7.625394000000000233e+03,1.187481999999999971e+02,1.699568999999999960e+03,8.208967000000000347e-01,3.079156000000000115e-01,-2.101768999999999998e+00,8.915355000000000363e-01,9.000000000000000000e+01,2.975734999999999797e+00
6.850320999999999913e+03,1.340252000000000123e+02,1.813925999999999931e+03,7.402881000000000045e-01,4.957526999999999906e-01,7.357566999999999580e-02,-7.986250000000000293e-01,2.000000000000000000e+01,3.261303999999999981e+00
6.012756000000000313e+03,2.940391000000000190e+02,1.091422000000000025e+03,7.870903999999999678e-01,4.618183000000000149e-01,1.186175000000000007e-01,8.060895999999999617e-01,6.000000000000000000e+01,2.429577999999999793e+00
7.576708999999999833e+03,1.564706999999999937e+02,1.248199000000000069e+03,7.168953000000000131e-01,5.821077999999999530e-01,3.428318000000000199e-01,-1.250334999999999974e+00,6.000000000000000000e+01,3.426025000000000098e+00
6.112801999999999680e+03,1.361528999999999883e+02,1.838212999999999965e+03,3.745916000000000246e-01,9.498318000000000039e-02,1.209329000000000098e+00,-7.097999000000000669e-02,4.000000000000000000e+01,3.782306999999999864e+00
7.838819000000000415e+03,2.945613999999999919e+02,1.898611000000000104e+03,7.176630000000000509e-01,6.688775000000000137e-01,3.102085000000000203e+00,8.298261000000000109e-01,3.000000000000000000e+01,6.183707000000000065e+00
5.886452000000000226e+03,3.688611000000000217e+02,1.172932999999999993e+03,9.919748000000000454e-02,3.912869999999999959e-01,-8.039823999999999860e-01,-1.403556000000000026e+00,3.000000000000000000e+01,4.223872000000000071e+00
8.831911000000000058e+03,4.390679999999999836e+02,1.001654999999999973e+03,4.468814999999999871e-01,7.648382000000000236e-01,6.010853000000000446e-01,3.887850999999999946e-01,4.000000000000000000e+01,2.692441000000000084e+00
8.772804000000000087e+03,4.465351999999999748e+02,6.329220000000000255e+02,8.587344000000000088e-01,2.265363999999999989e-01,8.912866000000000399e-01,1.091819000000000095e+00,5.000000000000000000e+01,1.900879999999999903e+00
7.300671999999999571e+03,1.875001000000000033e+02,1.477828999999999951e+03,4.018651999999999780e-01,7.473615999999999593e-01,9.823908999999999558e-01,-1.959786999999999987e-02,3.000000000000000000e+01,3.688937999999999828e+00
8.729902000000000044e+03,2.116007999999999925e+02,1.790045000000000073e+03,4.837551999999999824e-02,7.189553999999999390e-02,2.791268999999999778e+00,-6.993471999999999467e-01,7.000000000000000000e+01,1.471141999999999950e+00
6.877641999999999825e+03,3.719592999999999847e+02,1.735192999999999984e+03,4.956806000000000267e-01,7.716505999999999643e-01,9.839742999999999407e-02,-1.883701000000000125e-01,5.000000000000000000e+01,3.757746000000000031e+00
8.395908999999999651e+03,3.673385000000000105e+02,5.651331000000000131e+02,8.075799999999999645e-01,9.172725000000000461e-01,-3.102723999999999815e+00,-1.514539999999999997e+00,4.000000000000000000e+01,2.650148999999999866e+00
6.636747999999999593e+03,2.446502999999999872e+02,1.855865999999999985e+03,5.313326000000000437e-01,7.215070000000000094e-01,8.466139999999999777e-01,6.717454000000000480e-01,8.000000000000000000e+01,4.046816999999999886e+00
7.261487000000000080e+03,2.793494999999999777e+02,2.005620000000000118e+02,2.220842000000000094e-01,2.737287999999999943e-01,-2.930231000000000030e+00,6.133965000000000112e-01,1.000000000000000000e+01,3.097786000000000151e+00
5.873511000000000422e+03,3.448600999999999885e+02,1.766880000000000109e+03,5.882127999999999801e-01,3.953775999999999957e-01,2.930944999999999911e+00,8.172597999999999807e-01,5.000000000000000000e+01,5.467939000000000327e+00
