Umag,Ts,Ta,alphan,sigmat,theta,phi,panang,Cd
6.655046999999999571e+03,4.478102000000000089e+02,1.048415999999999940e+03,5.512352000000000363e-01,1.255777999999999894e-01,-1.985500999999999960e+00,-1.002726999999999924e+00,5.000000000000000000e+01,2.305835000000000079e+00
7.853167999999999665e+03,1.926360999999999990e+02,1.637152000000000044e+03,2.349478000000000122e-01,9.215257999999999505e-01,-5.985494999999999566e-01,9.696730000000000071e-01,2.000000000000000000e+01,3.474193999999999782e+00
9.175843999999999141e+03,4.183204999999999814e+02,1.055123000000000047e+03,5.301236000000000281e-01,6.229719999999999702e-01,-1.987446999999999964e+00,-5.479606000000000199e-01,7.000000000000000000e+01,2.656009000000000064e+00
7.148304000000000087e+03,3.190570999999999913e+02,2.621605999999999881e+02,3.093320999999999987e-01,8.291777000000000175e-01,1.779851000000000072e+00,3.823286000000000184e-01,1.000000000000000000e+01,3.111915000000000209e+00
7.548051000000000386e+03,2.623190000000000168e+02,3.941191000000000031e+02,7.027837000000000112e-01,6.478047000000000111e-01,-2.353641000000000094e+00,-1.301001999999999992e+00,5.000000000000000000e+01,2.484475000000000211e+00
7.629622000000000298e+03,2.091304000000000087e+02,1.379022999999999911e+03,2.073907000000000111e-01,8.145345999999999975e-01,-2.551198999999999995e+00,-1.528693000000000080e+00,0.000000000000000000e+00,3.891516999999999893e+00
6.842820999999999913e+03,4.481415999999999826e+02,9.959492999999999938e+02,3.722060999999999842e-01,7.902934999999999821e-01,9.640094000000000163e-01,-1.061366000000000032e+00,2.000000000000000000e+01,3.929863000000000106e+00
8.196700000000000728e+03,2.241790000000000020e+02,1.655299999999999955e+03,1.141106000000000065e-01,5.264159000000000477e-01,-1.343299999999999939e+00,3.276157000000000097e-01,5.000000000000000000e+01,3.418242999999999920e+00
7.114944000000000415e+03,3.182169000000000096e+02,1.931951000000000022e+03,8.681664999999999521e-01,4.008615999999999846e-01,-7.211912000000000322e-01,-1.162822999999999940e+00,6.000000000000000000e+01,4.015812999999999633e+00
6.117216999999999643e+03,3.886107000000000085e+02,8.422214000000000169e+02,1.665148999999999935e-01,5.108213999999999810e-01,-3.039265999999999912e-01,-8.675467000000000040e-01,5.000000000000000000e+01,3.876749999999999918e+00
6.407487000000000080e+03,4.685464000000000055e+02,8.586372999999999820e+02,6.187468000000000412e-01,2.983124999999999805e-01,2.825692999999999788e+00,-5.948297000000000306e-02,4.000000000000000000e+01,2.732432999999999890e+00
